relevamiento,variable,unidad,unidad_norm,periodo_tipo,fecha_objetivo,horizonte_meses,mediana,promedio,p10,p90,real,error,abs_error,error_rel_pct,dentro_p10_p90,serie_real,agregacion,comparable
2023-11,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,13,7.5,7.876265104897813,6.75,9.334559082336115,6.4,-1.0999999999999996,1.0999999999999996,,0.0,DESOCUPACION,dato del mes,True
2023-12,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,12,7.4,7.767497075940212,6.5,9.441470898803344,6.4,-1.0,1.0,,0.0,DESOCUPACION,dato del mes,True
2024-01,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,11,7.8,8.335366949234201,6.4,10.8177307994123,6.4,-1.3999999999999995,1.3999999999999995,,1.0,DESOCUPACION,dato del mes,True
2024-02,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,10,7.8,8.239262261257654,6.800000000000001,10.0,6.4,-1.3999999999999995,1.3999999999999995,,0.0,DESOCUPACION,dato del mes,True
2024-03,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,9,7.5,7.961078230278567,6.56,10.0,6.4,-1.0999999999999996,1.0999999999999996,,0.0,DESOCUPACION,dato del mes,True
2024-04,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,8,7.55,8.110578562226241,6.458555282952124,10.0,6.4,-1.1499999999999995,1.1499999999999995,,0.0,DESOCUPACION,dato del mes,True
2024-05,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,7,7.5,8.313243926523386,6.643295660221625,10.29110804633397,6.4,-1.0999999999999996,1.0999999999999996,,0.0,DESOCUPACION,dato del mes,True
2024-06,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,6,8.05,8.354032823212181,7.065185094317376,10.09703601544466,6.4,-1.6500000000000004,1.6500000000000004,,0.0,DESOCUPACION,dato del mes,True
2024-07,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,5,8.055855,8.236774161182378,6.793295660221625,9.7,6.4,-1.655854999999999,1.655854999999999,,0.0,DESOCUPACION,dato del mes,True
2024-08,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,4,8.1,8.437120373118766,7.2,10.0,6.4,-1.6999999999999993,1.6999999999999993,,0.0,DESOCUPACION,dato del mes,True
2024-09,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,3,8.0,7.860182773168925,7.250648373272045,8.5,6.4,-1.5999999999999996,1.5999999999999996,,0.0,DESOCUPACION,dato del mes,True
2024-10,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,2,8.0,8.020428712444255,7.301793723436635,8.488202012726651,6.4,-1.5999999999999996,1.5999999999999996,,0.0,DESOCUPACION,dato del mes,True
2024-11,DESOCUPACION,% de la PEA,% de la PEA,anio,2024-12-31,1,7.95,7.872968870363933,7.221,8.290000000000001,6.4,-1.5499999999999998,1.5499999999999998,,0.0,DESOCUPACION,dato del mes,True
2023-12,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,24,7.4,7.697829656519792,5.94,9.694708466309738,7.5,0.09999999999999964,0.09999999999999964,,1.0,DESOCUPACION,dato del mes,True
2024-01,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,23,7.6,7.805381243485083,6.24,9.579744953092591,7.5,-0.09999999999999964,0.09999999999999964,,1.0,DESOCUPACION,dato del mes,True
2024-02,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,22,7.577582082238268,7.973448640660157,6.12,10.6,7.5,-0.07758208223826824,0.07758208223826824,,1.0,DESOCUPACION,dato del mes,True
2024-03,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,21,7.300000000000001,7.668318720982032,6.05,10.0,7.5,0.1999999999999993,0.1999999999999993,,1.0,DESOCUPACION,dato del mes,True
2024-04,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,20,7.4,7.692903327948767,5.92,9.400000000000002,7.5,0.09999999999999964,0.09999999999999964,,1.0,DESOCUPACION,dato del mes,True
2024-05,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,19,7.3,7.872842480846098,6.143425934682054,10.0,7.5,0.20000000000000018,0.20000000000000018,,1.0,DESOCUPACION,dato del mes,True
2024-06,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,18,7.751591302367052,8.078546706491586,6.31,10.0,7.5,-0.25159130236705174,0.25159130236705174,,1.0,DESOCUPACION,dato del mes,True
2024-07,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,17,7.6,8.057358386524957,6.32,9.80639753523094,7.5,-0.09999999999999964,0.09999999999999964,,1.0,DESOCUPACION,dato del mes,True
2024-08,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,16,7.7,8.383912588024726,6.7,10.0,7.5,-0.20000000000000018,0.20000000000000018,,1.0,DESOCUPACION,dato del mes,True
2024-09,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,15,7.5,7.537626613186348,6.4,8.4,7.5,0.0,0.0,,1.0,DESOCUPACION,dato del mes,True
2024-10,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,14,7.5,7.710597033124122,6.567591052439776,9.04,7.5,0.0,0.0,,1.0,DESOCUPACION,dato del mes,True
2024-11,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,13,7.5,7.735535759372406,6.4,9.13,7.5,0.0,0.0,,1.0,DESOCUPACION,dato del mes,True
2024-12,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,12,7.0,7.135716040980937,6.4,8.0,7.5,0.5,0.5,,1.0,DESOCUPACION,dato del mes,True
2025-01,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,11,6.8,6.926013553633693,6.2,8.0,7.5,0.7000000000000002,0.7000000000000002,,1.0,DESOCUPACION,dato del mes,True
2025-02,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,10,6.758360300577177,6.88232515730658,6.29,7.82,7.5,0.7416396994228229,0.7416396994228229,,1.0,DESOCUPACION,dato del mes,True
2025-03,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,9,6.5,6.580712774649341,5.9,7.5,7.5,1.0,1.0,,1.0,DESOCUPACION,dato del mes,True
2025-04,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,8,6.5,6.590068865911494,5.91,7.462198591298387,7.5,1.0,1.0,,0.0,DESOCUPACION,dato del mes,True
2025-05,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,7,6.5,6.528745361888237,5.870768346432006,7.115390139088702,7.5,1.0,1.0,,0.0,DESOCUPACION,dato del mes,True
2025-06,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,6,6.992427853614325,6.945090533933545,6.3,7.56,7.5,0.5075721463856748,0.5075721463856748,,1.0,DESOCUPACION,dato del mes,True
2025-07,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,5,7.0,7.134670200297257,6.484959332996397,7.9,7.5,0.5,0.5,,1.0,DESOCUPACION,dato del mes,True
2025-08,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,4,7.0,7.208491601608072,6.475934932794236,8.16,7.5,0.5,0.5,,1.0,DESOCUPACION,dato del mes,True
2025-09,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,3,7.2,7.254622798616031,6.695,7.915,7.5,0.2999999999999998,0.2999999999999998,,1.0,DESOCUPACION,dato del mes,True
2025-10,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,2,7.2,7.272897796896733,6.732,7.864,7.5,0.2999999999999998,0.2999999999999998,,1.0,DESOCUPACION,dato del mes,True
2025-11,DESOCUPACION,% de la PEA,% de la PEA,anio,2025-12-31,1,7.2,7.264707984764406,6.7,7.837000000000001,7.5,0.2999999999999998,0.2999999999999998,,1.0,DESOCUPACION,dato del mes,True
2020-12,DESOCUPACION,% de la PEA,% de la PEA,trim,2020-12-31,0,11.7,12.00227963184889,10.5,14.0,10.9579322139272,-0.7420677860727984,0.7420677860727984,,1.0,DESOCUPACION,dato del mes,True
2021-01,DESOCUPACION,% de la PEA,% de la PEA,trim,2020-12-31,-1,11.55555314181748,11.75631944399028,10.50659543381651,13.48333333333333,10.9579322139272,-0.5976209278902793,0.5976209278902793,,1.0,DESOCUPACION,dato del mes,True
2021-02,DESOCUPACION,% de la PEA,% de la PEA,trim,2020-12-31,-2,11.45,11.73399105574429,10.71,13.48333333333333,10.9579322139272,-0.49206778607279844,0.49206778607279844,,1.0,DESOCUPACION,dato del mes,True
2020-12,DESOCUPACION,% de la PEA,% de la PEA,trim,2021-03-31,3,11.7,12.06714102751457,10.0412782953627,14.8,10.2,-1.5,1.5,,1.0,DESOCUPACION,dato del mes,True
2021-01,DESOCUPACION,% de la PEA,% de la PEA,trim,2021-03-31,2,11.49636840287346,11.78147596311941,10.33053046103169,13.45,10.2,-1.2963684028734601,1.2963684028734601,,0.0,DESOCUPACION,dato del mes,True
2021-02,DESOCUPACION,% de la PEA,% de la PEA,trim,2021-03-31,1,11.34636840287346,11.66790111603754,10.32,13.45,10.2,-1.1463684028734615,1.1463684028734615,,0.0,DESOCUPACION,dato del mes,True
2021-03,DESOCUPACION,% de la PEA,% de la PEA,trim,2021-03-31,0,11.2,11.41399179993443,10.6,12.52,10.2,-1.0,1.0,,0.0,DESOCUPACION,dato del mes,True
2021-04,DESOCUPACION,% de la PEA,% de la PEA,trim,2021-03-31,-1,11.2,11.32522070063234,10.5,12.5,10.2,-1.0,1.0,,0.0,DESOCUPACION,dato del mes,True
2021-05,DESOCUPACION,% de la PEA,% de la PEA,trim,2021-03-31,-2,11.2,11.31740993615281,10.47448368493247,12.51,10.2,-1.0,1.0,,0.0,DESOCUPACION,dato del mes,True
2020-12,DESOCUPACION,% de la PEA,% de la PEA,trim,2021-06-30,6,12.0,12.37146715781742,10.8,14.6,9.60090333606911,-2.399096663930891,2.399096663930891,,0.0,DESOCUPACION,dato del mes,True
2021-01,DESOCUPACION,% de la PEA,% de la PEA,trim,2021-06-30,5,11.8,12.34578091456623,10.63,14.07,9.60090333606911,-2.1990966639308915,2.1990966639308915,,0.0,DESOCUPACION,dato del mes,True
2021-02,DESOCUPACION,% de la PEA,% de la PEA,trim,2021-06-30,4,11.65,12.18784044884612,10.61,13.89,9.60090333606911,-2.049096663930891,2.049096663930891,,0.0,DESOCUPACION,dato del mes,True
2021-03,DESOCUPACION,% de la PEA,% de la PEA,trim,2021-06-30,3,11.52855172128352,11.73549490691863,10.5,13.14,9.60090333606911,-1.927648385214411,1.927648385214411,,0.0,DESOCUPACION,dato del mes,True
2021-04,DESOCUPACION,% de la PEA,% de la PEA,trim,2021-06-30,2,11.7,11.75634888034605,10.5,13.1,9.60090333606911,-2.09909666393089,2.09909666393089,,0.0,DESOCUPACION,dato del mes,True
2021-05,DESOCUPACION,% de la PEA,% de la PEA,trim,2021-06-30,1,11.75,11.62206609251866,10.49,13.128052476,9.60090333606911,-2.149096663930891,2.149096663930891,,0.0,DESOCUPACION,dato del mes,True
2021-06,DESOCUPACION,% de la PEA,% de la PEA,trim,2021-06-30,0,11.0,11.11778821507046,9.8,13.1,9.60090333606911,-1.3990966639308908,1.3990966639308908,,0.0,DESOCUPACION,dato del mes,True
2021-07,DESOCUPACION,% de la PEA,% de la PEA,trim,2021-06-30,-1,10.9,11.00013206247876,10.2,12.0,9.60090333606911,-1.2990966639308912,1.2990966639308912,,0.0,DESOCUPACION,dato del mes,True
2021-08,DESOCUPACION,% de la PEA,% de la PEA,trim,2021-06-30,-2,10.8,10.84582858440376,10.2,11.92,9.60090333606911,-1.1990966639308915,1.1990966639308915,,0.0,DESOCUPACION,dato del mes,True
2021-03,DESOCUPACION,% de la PEA,% de la PEA,trim,2021-09-30,6,11.0,11.2854256765911,10.18,13.01130550033135,8.19999999999999,-2.8000000000000096,2.8000000000000096,,0.0,DESOCUPACION,dato del mes,True
